,N1,N2,N3,N4,N5,Powerball
25,2,4,11,16,22,20
29,9,22,38,50,67,25
35,7,13,28,46,47,22
41,6,9,16,31,37,22
53,2,3,10,15,35,23
1,13,14,33,38,53,22
10,16,31,37,48,60,25
21,13,16,17,28,65,24
24,11,14,15,25,60,23
26,18,21,30,54,55,17
35,8,21,27,60,67,25
38,7,24,37,46,55,25
44,5,29,31,46,67,24
52,8,9,16,23,52,25
54,14,20,41,44,63,22
56,12,19,34,46,54,22
5,4,8,35,40,56,22
10,6,16,44,53,56,18
14,6,16,25,31,68,23
15,2,6,16,29,40,18
17,11,14,25,32,55,17
20,2,24,32,36,41,21
22,2,10,15,22,44,16
26,13,14,20,34,46,18
28,5,11,13,28,68,22
37,8,21,47,50,61,23
41,12,15,25,30,48,17
58,2,15,30,51,59,24
4,4,19,34,38,48,23
6,15,17,18,45,55,16
10,11,15,17,54,64,22
16,10,19,40,54,65,20
21,12,14,24,28,57,19
24,1,20,28,55,62,19
36,2,6,9,22,25,23
38,17,31,33,39,48,15
44,2,3,12,18,46,23
52,10,13,36,46,63,19
55,9,10,36,46,61,24
56,4,12,14,37,63,24
59,9,27,31,41,48,20
9,9,13,21,24,39,20
14,22,29,44,49,52,20
16,31,35,37,41,53,23
31,4,9,42,56,66,19
33,1,2,22,27,58,21
40,6,8,27,31,52,19
54,13,27,37,47,65,24
56,1,18,29,43,50,23
63,10,17,20,38,45,23
4,8,24,31,36,64,22
6,9,28,36,38,67,23
8,19,32,39,43,46,22
12,12,13,23,43,46,19
15,1,4,17,18,41,24
17,14,16,17,33,59,19
25,3,27,33,34,52,25
30,13,14,20,47,61,25
32,17,21,38,42,59,24
35,8,10,17,26,65,21
38,2,15,28,32,61,18
46,1,8,30,42,62,21
53,3,5,26,39,42,19
54,34,35,36,42,53,22
56,1,7,12,44,61,21
58,19,24,28,33,68,23
2,15,16,22,49,64,25
7,15,22,24,35,66,23
22,26,30,39,51,69,23
23,1,10,21,44,65,23
24,2,7,10,49,51,23
32,5,10,32,56,63,20
34,15,16,40,54,55,20
35,9,19,25,38,55,22
40,5,18,27,36,47,24
45,2,11,26,44,60,22
58,6,14,29,33,50,24
1,4,22,27,37,60,21
2,1,13,14,25,35,23
9,1,20,23,33,66,22
15,2,7,11,13,22,19
16,14,25,31,34,69,23
17,15,17,27,34,63,20
18,7,8,32,50,66,18
20,1,6,7,48,69,24
32,5,8,9,18,31,22
33,1,9,27,34,60,22
61,16,30,33,34,47,20
1,6,9,26,32,54,21
6,3,5,11,51,52,20
21,14,15,16,61,63,19
29,2,11,42,46,68,19
34,8,14,37,50,61,23
36,4,22,28,42,45,25
39,7,15,22,30,38,25
40,7,9,38,45,53,19
48,3,17,20,29,47,25
57,18,36,38,48,61,24
60,10,16,45,46,53,18
2,3,8,24,41,58,21
4,5,13,26,32,68,24
7,1,2,5,31,55,21
8,8,9,24,40,63,22
12,11,15,34,45,63,25
36,8,20,30,35,41,21
37,4,8,11,37,54,23
40,16,27,35,43,54,20
54,20,23,26,39,59,25
56,2,7,24,58,67,25
59,17,20,35,37,67,22
16,15,21,33,53,58,17
17,7,12,26,44,54,21
24,2,3,16,17,60,25
27,10,11,19,47,55,25
32,9,12,35,37,47,24
33,9,20,42,46,61,18
37,16,23,26,54,59,18
40,2,13,23,61,69,18
42,14,18,25,39,67,23
54,3,13,23,42,45,22
61,25,36,41,42,52,22
6,7,12,20,27,63,22
16,8,23,38,58,61,22
29,1,7,12,29,31,25
33,4,18,21,43,51,25
37,8,10,13,32,48,25
39,6,10,20,53,63,17
50,3,4,5,27,34,24
51,11,26,44,47,64,25
56,6,14,28,42,69,23
61,10,11,20,21,34,25
16,2,11,16,50,62,25
20,4,24,47,53,62,23
29,4,23,34,60,66,21
46,21,26,37,41,56,24
48,7,11,33,59,62,20
60,14,24,48,51,57,22
61,11,38,48,54,58,24
0,7,12,21,56,60,19
15,6,15,26,29,61,24
20,22,26,36,49,62,19
27,7,21,34,44,59,20
34,2,9,22,46,49,15
40,4,5,11,24,48,25
46,7,18,38,45,49,23
49,9,24,34,53,62,25
50,16,28,39,47,50,22
56,12,13,27,34,50,24
1,23,24,43,52,61,20
11,16,27,32,51,62,20
32,4,9,31,45,64,23
33,5,23,27,30,58,22
42,7,16,26,29,34,24
51,10,23,35,48,63,18
57,30,34,39,47,62,23
61,4,7,18,46,59,23
63,14,27,38,48,62,25
7,19,21,31,39,50,22
16,23,29,31,35,55,21
28,3,5,9,58,65,20
29,8,15,16,17,53,22
31,2,8,29,41,51,25
35,3,6,35,41,58,22
36,2,7,35,38,64,21
46,17,18,25,37,45,20
56,3,34,37,49,54,21
59,3,11,31,53,66,21
60,18,23,24,27,42,19
17,2,13,26,38,48,24
21,6,7,21,52,63,24
30,4,8,39,57,60,17
32,8,11,14,47,56,22
35,20,25,28,36,53,23
41,17,19,23,36,39,20
47,2,3,9,24,25,20
51,8,12,23,36,43,21
53,3,4,27,31,53,25
55,5,13,34,52,67,23
2,8,29,35,49,65,22
13,4,26,43,48,52,23
15,1,4,28,29,43,23
20,6,9,18,45,63,25
25,16,29,37,45,50,23
27,1,7,16,31,54,23
32,1,28,44,50,61,25
35,9,32,36,46,64,24
46,13,26,27,53,64,22
58,13,14,17,38,39,22
61,4,18,28,42,52,23
62,9,16,30,34,68,24
64,15,21,24,36,62,22
8,3,6,11,14,27,25
16,6,12,19,39,42,22
29,3,12,32,39,58,19
33,3,11,12,23,56,17
35,1,13,23,32,46,24
36,5,10,48,49,65,23
40,8,17,36,50,69,25
41,20,21,47,51,53,22
53,9,14,32,39,43,22
55,11,23,28,43,61,17
56,5,12,47,61,65,23
58,5,18,21,29,31,22
61,4,12,24,25,63,21
1,10,12,15,24,38,23
2,23,28,39,49,52,20
4,6,10,49,50,57,21
5,11,23,35,47,65,18
6,19,21,23,48,62,20
25,7,25,33,42,56,24
36,24,32,43,50,61,21
55,1,8,32,36,62,20
56,11,15,39,52,67,18
61,14,16,18,35,36,21
1,5,17,30,59,68,22
7,3,10,41,56,62,17
16,1,14,18,26,60,20
18,6,18,22,61,63,23
29,2,15,16,20,43,23
31,8,9,17,19,55,25
35,8,12,15,19,50,24
42,8,13,16,32,63,23
46,4,16,26,32,46,23
50,5,12,34,38,48,20
53,20,25,26,40,56,22
58,10,14,15,16,58,23
62,10,17,23,28,57,24
63,13,26,34,45,60,25
5,15,19,24,35,50,22
29,6,10,23,54,66,15
33,7,9,17,23,36,25
36,3,25,29,38,55,21
38,8,19,25,37,60,20
48,1,23,26,43,44,24
58,2,5,10,14,47,24
1,13,18,29,43,47,24
20,14,27,29,58,61,25
22,2,3,20,44,64,23
25,7,9,16,34,67,22
35,3,23,34,45,53,24
46,10,14,52,53,58,23
50,7,17,45,63,66,24
54,2,26,32,33,69,25
60,8,20,30,51,54,23
63,4,5,16,36,59,25
0,10,29,32,41,54,18
2,13,14,34,35,59,18
10,3,13,30,35,43,25
17,6,10,30,31,56,24
32,4,12,24,59,61,22
33,13,15,40,54,60,24
36,13,26,35,38,64,19
38,1,18,27,56,64,24
40,14,20,26,29,36,22
44,7,8,14,36,63,25
52,2,7,17,19,67,25
58,8,24,34,51,65,22
60,2,20,26,35,46,23
5,4,26,29,45,52,23
6,19,24,30,55,63,25
17,8,11,20,34,42,22
26,29,31,33,44,46,24
33,1,6,8,36,47,22
34,1,9,55,62,65,25
37,16,17,22,50,51,20
56,14,19,30,40,55,18
57,7,26,42,47,60,24
64,7,8,16,26,39,19
1,10,11,12,65,69,20
6,17,25,35,41,58,24
8,11,28,30,31,44,22
10,10,22,40,51,63,25
14,3,10,28,30,41,25
16,3,20,27,51,65,24
17,1,19,35,45,54,24
23,8,9,10,42,61,22
38,11,18,38,48,58,23
39,9,14,20,25,37,24
48,9,10,24,40,61,20
56,9,18,31,51,64,23
61,1,7,11,53,59,22
3,15,35,37,43,47,25
6,7,13,23,31,49,24
8,14,22,30,46,57,23
12,9,11,29,31,66,21
17,8,18,33,34,50,22
18,10,19,25,54,62,17
33,2,29,34,42,64,24
35,6,9,25,53,62,21
46,3,6,7,54,66,24
60,5,12,23,48,64,19
63,2,17,20,57,64,22
2,8,22,27,38,69,25
10,6,25,26,39,46,24
17,7,8,13,32,65,24
23,3,8,27,58,61,16
29,11,21,25,37,57,23
40,31,37,38,42,43,23
45,1,11,24,40,61,19
54,7,12,37,41,59,25
55,2,14,44,61,64,25
2,9,37,41,57,60,24
3,4,9,32,49,68,23
4,11,13,24,42,58,17
11,13,21,40,46,59,20
16,21,28,33,34,62,18
28,11,15,32,57,61,16
29,6,25,33,49,56,22
32,5,6,9,31,57,23
36,1,8,32,58,69,19
43,11,13,26,40,56,21
46,9,21,23,43,56,20
4,9,17,21,37,57,24
8,2,15,38,41,58,23
13,14,18,37,45,52,22
15,9,18,30,38,60,23
16,1,2,24,29,60,25
35,16,20,45,56,67,23
36,16,38,43,44,59,23
47,8,25,30,47,48,21
54,11,26,32,65,69,25
56,10,15,22,32,41,24
61,6,24,45,55,61,22
0,10,14,31,40,48,21
5,9,14,49,55,58,20
16,7,18,31,49,62,25
25,3,4,20,62,63,19
35,3,5,7,47,51,20
40,15,19,21,38,40,24
41,1,11,12,40,69,23
51,4,12,18,33,50,23
58,3,8,16,43,65,25
59,4,13,37,40,57,22
62,2,9,19,27,54,21
64,11,22,41,42,54,23
1,5,15,37,54,62,21
4,28,29,34,62,64,25
5,15,23,29,37,49,21
8,9,12,13,21,28,22
13,1,2,25,32,33,21
15,3,9,29,40,53,18
28,5,8,23,49,67,18
34,8,24,32,34,62,20
42,3,6,7,52,67,21
44,3,17,25,36,68,21
45,13,19,25,33,46,21
51,3,30,32,45,68,22
56,5,7,22,45,49,21
58,10,13,38,47,55,17
2,14,19,27,35,53,22
14,6,9,16,41,58,22
16,7,8,27,30,36,25
17,16,19,27,46,55,21
19,11,16,26,65,66,24
22,5,9,11,18,39,20
25,4,9,11,30,44,23
28,6,7,42,43,45,24
40,7,8,10,58,59,19
43,20,23,27,35,69,13
46,9,19,41,56,59,25
50,9,26,35,41,51,24
53,6,10,11,20,51,25
56,17,21,27,55,67,18
64,4,16,24,42,50,22
1,13,18,24,26,35,22
2,5,23,38,46,66,22
17,16,22,24,26,27,25
20,17,30,47,53,56,23
24,26,27,48,53,62,22
29,10,18,38,51,65,21
35,20,21,25,46,64,24
36,11,20,24,28,53,21
46,5,6,21,38,52,19
50,1,6,7,53,60,19
54,7,18,28,30,61,22
6,26,33,35,38,53,18
9,4,8,33,37,57,21
13,3,11,33,47,51,25
20,1,23,30,47,59,24
33,12,36,40,47,51,21
40,4,7,15,16,19,25
2,10,26,30,36,59,23
7,8,13,14,29,66,24
12,7,18,26,31,62,22
23,27,33,35,36,44,23
24,9,18,19,42,53,24
27,12,22,39,68,69,24
2,8,9,22,23,25,24
6,4,5,13,31,35,25
11,8,14,20,41,50,24
16,1,11,14,27,43,25
18,2,3,35,47,62,25
19,5,6,27,43,56,19
35,14,19,39,51,56,20
46,12,13,23,40,55,17
49,3,30,32,35,50,25
54,16,18,19,31,51,22
56,9,29,36,45,58,22
2,9,31,38,54,69,24
3,2,10,16,53,62,25
6,9,30,38,43,46,21
13,4,36,39,45,55,21
29,29,31,33,46,52,18
32,1,5,35,46,52,25
33,7,32,33,38,46,23
35,1,12,21,47,55,24
43,3,7,35,58,60,16
46,9,21,22,28,57,19
53,9,12,20,21,36,24
58,8,9,32,36,65,16
2,3,25,41,49,63,22
6,26,31,40,41,47,24
10,3,26,38,41,52,22
17,19,21,30,46,58,25
24,10,20,23,41,50,21
35,9,19,22,34,66,23
39,5,11,12,13,58,23
40,2,8,22,36,62,25
48,9,23,34,36,59,22
53,5,20,27,59,60,25
58,5,28,30,54,65,25
59,6,12,17,41,58,19
63,6,27,29,41,55,24
64,2,14,28,37,65,21
12,14,18,33,59,65,22
18,4,9,20,37,47,24
23,4,12,13,16,28,17
36,7,13,37,47,48,22
46,10,14,26,28,39,24
49,1,21,22,26,51,25
50,10,14,18,23,28,20
54,8,11,14,34,67,25
58,14,24,36,38,46,23
61,7,12,25,44,51,21
4,4,16,25,45,56,19
16,4,20,27,35,63,22
18,9,23,27,29,51,20
22,2,3,20,35,49,24
26,15,25,31,38,49,18
29,6,17,22,23,45,25
31,10,20,22,43,47,25
32,6,14,18,37,43,20
37,7,16,24,46,47,20
56,9,13,30,51,52,18
58,3,14,38,42,47,23
7,14,17,53,55,64,24
10,3,9,10,18,36,17
24,6,9,38,48,53,19
29,2,9,13,41,63,23
31,16,19,43,63,67,23
37,9,12,14,21,30,25
48,16,20,32,68,69,24
53,3,8,13,14,53,16
55,26,30,36,39,62,23
0,1,4,24,26,55,25
4,6,8,45,47,55,24
9,8,10,13,36,60,17
19,2,15,16,36,43,22
27,6,17,26,56,57,21
28,11,16,43,46,54,25
54,12,27,28,48,69,19
58,11,19,47,55,60,24
63,10,25,33,40,68,19
7,1,12,17,34,37,23
20,15,25,29,32,53,21
35,1,2,27,32,48,19
36,6,9,28,55,68,23
39,1,17,18,21,59,25
53,22,32,44,48,54,23
55,13,17,28,62,66,24
56,22,32,35,49,55,21
59,3,13,37,39,51,25
16,3,9,29,34,62,23
18,19,30,38,55,61,24
20,2,14,33,34,69,24
22,5,14,17,66,68,20
25,2,10,19,34,51,22
30,7,21,24,29,58,20
31,8,11,49,59,68,25
38,21,22,47,55,61,24
41,1,5,16,32,35,24
44,1,11,26,50,68,21
56,1,5,8,33,44,20
59,19,27,29,32,45,20
0,10,19,26,28,29,25
2,8,16,25,34,50,22
14,2,12,15,43,47,25
27,6,10,27,44,51,19
32,11,26,27,33,38,23
34,15,20,34,55,69,22
41,20,22,43,53,55,24
60,8,12,16,32,42,22
61,2,3,12,16,27,22
2,3,5,34,68,69,18
6,14,15,25,29,41,18
11,3,17,25,30,38,21
19,3,10,12,32,46,23
27,5,15,28,30,32,21
32,4,27,47,52,64,25
33,12,17,28,30,34,21
36,5,10,15,18,24,25
41,15,21,30,56,61,22
44,6,13,29,50,69,22
56,1,9,20,42,52,25
57,8,12,14,60,66,22
59,3,23,36,56,57,22
62,8,25,33,45,55,24
14,10,17,30,49,65,20
32,12,16,18,33,58,19
38,9,20,22,37,39,21
39,17,26,32,50,54,20
60,12,13,30,43,46,18
61,16,36,39,52,65,23
7,11,18,25,45,64,20
20,5,8,23,24,34,25
21,16,25,34,41,59,21
35,3,19,31,48,66,20
36,5,6,17,25,55,19
46,9,15,26,48,63,24
48,1,13,36,37,56,25
57,4,6,19,20,24,23
61,1,2,16,26,62,21
1,11,12,18,31,38,23
18,7,28,40,50,69,25
19,10,11,26,50,63,16
24,1,10,39,53,61,20
28,3,7,16,45,68,15
30,1,16,18,43,52,24
35,8,15,29,32,63,18
51,1,3,6,44,48,19
59,1,14,20,28,60,19
12,1,9,25,51,67,22
18,14,25,35,44,58,21
19,9,12,14,30,39,24
20,2,39,45,50,59,23
26,20,24,29,33,58,21
37,15,17,31,32,63,18
41,5,20,33,38,45,24
50,6,10,18,33,45,23
54,4,12,36,38,55,21
58,3,6,38,40,49,22
62,12,17,20,36,53,22
4,10,15,22,35,49,25
6,3,10,12,30,46,25
32,2,13,46,47,62,22
36,1,7,40,60,64,21
38,7,9,16,26,44,23
39,3,28,45,52,65,21
48,12,14,32,55,59,23
6,10,21,26,43,46,20
9,17,23,35,38,62,19
12,10,18,27,39,43,20
15,8,21,31,47,53,25
26,20,26,30,41,66,24
40,19,23,25,41,44,20
41,3,4,14,30,57,24
42,7,13,17,18,22,19
46,18,30,39,47,62,24
51,12,33,38,45,56,17
56,13,18,20,52,68,19
0,3,4,13,28,63,23
4,18,23,24,56,63,25
5,15,21,27,39,53,25
6,15,28,35,46,53,18
7,4,5,6,21,49,23
15,8,22,45,51,68,23
23,6,7,40,44,51,17
25,3,11,24,34,39,23
32,21,22,33,42,47,19
42,3,16,25,44,52,19
59,7,12,16,34,43,23
1,6,27,43,45,53,25
8,1,3,12,24,51,23
32,9,14,26,28,62,25
35,5,10,14,47,56,19
56,1,14,38,61,62,24
57,9,26,37,47,53,19
58,4,5,11,47,63,24
64,1,4,27,45,62,25
9,4,10,13,27,58,20
15,9,19,31,44,69,20
24,1,15,28,50,52,24
32,23,27,31,32,62,24
43,23,24,32,46,53,20
56,5,6,17,20,36,24
61,3,7,9,37,44,22
0,8,16,25,50,68,19
27,4,9,28,43,69,19
29,9,13,40,52,53,21
31,2,11,14,28,37,22
36,15,18,25,38,51,24
50,27,33,41,57,62,25
60,7,15,27,42,45,20
3,12,23,27,51,52,24
11,25,27,32,36,47,22
16,9,10,22,56,59,20
26,7,16,20,51,55,21
27,8,24,36,41,69,22
35,2,3,7,8,37,24
41,3,18,20,30,58,23
57,5,9,37,38,49,23
62,2,13,38,41,45,25
63,4,13,16,31,50,22
14,4,30,37,40,67,22
26,2,10,14,64,65,22
31,7,14,22,25,32,21
36,15,27,29,43,59,24
40,5,23,28,45,56,21
41,16,17,28,39,44,19
49,2,13,19,45,61,21
58,13,17,40,49,65,23
62,8,9,13,24,36,23
64,5,6,9,36,69,20
2,13,21,30,33,41,25
5,2,5,32,51,62,17
22,4,22,24,30,39,21
23,5,8,37,44,45,20
25,2,4,20,33,47,24
31,21,26,38,54,57,25
33,5,13,27,29,61,19
36,1,11,14,50,66,18
37,7,14,26,44,48,20
39,12,15,19,57,67,18
48,12,17,22,29,69,24
53,1,16,25,38,62,23
56,10,19,27,44,52,24
62,5,9,36,50,65,18
1,11,22,28,42,43,18
5,14,20,25,37,59,21
9,10,15,17,44,66,16
13,11,25,38,40,65,20
14,10,13,26,27,50,18
16,2,4,16,25,68,20
33,8,10,11,12,17,25
38,14,21,43,50,56,23
39,2,24,33,41,47,23
44,3,12,24,25,58,23
46,4,19,25,35,55,24
48,4,5,10,16,31,23
2,10,11,16,28,61,21
6,3,7,20,47,59,24
15,1,13,19,35,65,23
19,6,21,38,44,55,24
25,5,16,22,40,44,24
28,6,16,19,43,68,25
30,11,20,33,34,61,21
53,12,15,21,29,32,23
55,11,13,16,35,38,24
6,7,17,29,43,50,24
8,6,13,35,36,57,21
16,14,15,27,30,44,23
20,11,29,39,42,55,23
23,15,19,30,32,56,20
33,7,12,18,19,60,24
40,9,17,54,56,64,22
45,9,31,36,46,47,24
55,4,19,28,63,69,24
63,6,8,29,35,69,24
64,16,19,23,27,52,22
5,5,12,27,56,66,23
25,8,12,15,33,38,25
35,2,6,7,21,49,23
36,7,8,21,35,39,23
39,13,37,43,49,61,25
46,8,10,20,42,65,18
